trueR , trueI
0.013337 , -0.005524
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
67633152 , 541065216 , 0.203115 , -0.168959, 0.036016, 0.026711
68157440 , 545259520 , 0.201973 , -0.180300, 0.035584, 0.030547
68681728 , 549453824 , 0.202293 , -0.176708, 0.035704, 0.029304
69206016 , 553648128 , 0.193625 , -0.184473, 0.032504, 0.032023
69730304 , 557842432 , 0.192471 , -0.178581, 0.032089, 0.029949
70254592 , 562036736 , 0.191018 , -0.165375, 0.031570, 0.025552
70778880 , 566231040 , 0.185974 , -0.145184, 0.029803, 0.019505
71303168 , 570425344 , 0.192754 , -0.157403, 0.032191, 0.023067
71827456 , 574619648 , 0.186997 , -0.148595, 0.030158, 0.020469
72351744 , 578813952 , 0.180955 , -0.156866, 0.028096, 0.022904
72876032 , 583008256 , 0.167813 , -0.161403, 0.023863, 0.024298
73400320 , 587202560 , 0.173924 , -0.161251, 0.025788, 0.024251
73924608 , 591396864 , 0.166786 , -0.159978, 0.023547, 0.023856
74448896 , 595591168 , 0.178237 , -0.143728, 0.027192, 0.019100
74973184 , 599785472 , 0.186888 , -0.131212, 0.030120, 0.015797
75497472 , 603979776 , 0.176381 , -0.141804, 0.026583, 0.018572
76021760 , 608174080 , 0.168066 , -0.146759, 0.023941, 0.019947
76546048 , 612368384 , 0.162257 , -0.136433, 0.022177, 0.017137
77070336 , 616562688 , 0.163190 , -0.133254, 0.022456, 0.016315
77594624 , 620756992 , 0.166473 , -0.139339, 0.023451, 0.017906
78118912 , 624951296 , 0.187060 , -0.121914, 0.030180, 0.013546
78643200 , 629145600 , 0.193964 , -0.128054, 0.032626, 0.015014
79167488 , 633339904 , 0.204979 , -0.123307, 0.036727, 0.013873
79691776 , 637534208 , 0.214833 , -0.111875, 0.040601, 0.011310
80216064 , 641728512 , 0.220426 , -0.107690, 0.042886, 0.010438
80740352 , 645922816 , 0.219738 , -0.099299, 0.042601, 0.008794
81264640 , 650117120 , 0.213846 , -0.100543, 0.040204, 0.009029
81788928 , 654311424 , 0.206505 , -0.114744, 0.037314, 0.011929
82313216 , 658505728 , 0.213997 , -0.092131, 0.040265, 0.007501
82837504 , 662700032 , 0.206417 , -0.085193, 0.037280, 0.006347
83361792 , 666894336 , 0.209544 , -0.066916, 0.038497, 0.003769
83886080 , 671088640 , 0.199992 , -0.070378, 0.034840, 0.004206
84410368 , 675282944 , 0.202041 , -0.074060, 0.035609, 0.004697
84934656 , 679477248 , 0.201441 , -0.071841, 0.035383, 0.004398
85458944 , 683671552 , 0.209044 , -0.063194, 0.038301, 0.003326
85983232 , 687865856 , 0.204822 , -0.069452, 0.036667, 0.004087
86507520 , 692060160 , 0.212470 , -0.071344, 0.039654, 0.004332
87031808 , 696254464 , 0.200442 , -0.074370, 0.035008, 0.004740
87556096 , 700448768 , 0.187798 , -0.073777, 0.030437, 0.004658
88080384 , 704643072 , 0.180457 , -0.079583, 0.027929, 0.005485
88604672 , 708837376 , 0.188640 , -0.078327, 0.030731, 0.005300
89128960 , 713031680 , 0.186527 , -0.074132, 0.029995, 0.004707
89653248 , 717225984 , 0.200514 , -0.069762, 0.035035, 0.004126
90177536 , 721420288 , 0.207996 , -0.064099, 0.037892, 0.003431
90701824 , 725614592 , 0.219972 , -0.066035, 0.042698, 0.003661
91226112 , 729808896 , 0.225455 , -0.052516, 0.044994, 0.002208
91750400 , 734003200 , 0.217695 , -0.047877, 0.041762, 0.001794
92274688 , 738197504 , 0.226888 , -0.056960, 0.045604, 0.002646
92798976 , 742391808 , 0.216899 , -0.063356, 0.041437, 0.003344
93323264 , 746586112 , 0.223846 , -0.060334, 0.044314, 0.003004
93847552 , 750780416 , 0.219194 , -0.056608, 0.042377, 0.002610
94371840 , 754974720 , 0.206578 , -0.060711, 0.037342, 0.003046
