trueR , trueI
-0.001282 , -0.000086
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
190141736 , 80705388 , 190141736 , 23236 ,0.000457,-0.001127,3.0241209999999995e-06,1.083681e-06,4.1078019999999995e-06,0.002026771324052124
192937938 , 81186730 , 192937938 , 23613 ,0.000132,-0.001329,1.9993959999999998e-06,1.5450490000000005e-06,3.544445e-06,0.001882669647070351
195734140 , 81761038 , 195734140 , 23947 ,-0.000169,-0.000505,1.2387689999999997e-06,1.75561e-07,1.4143299999999997e-06,0.0011892560699866112
198530342 , 82440450 , 198530342 , 24270 ,-3e-05,-0.000948,1.5675039999999997e-06,7.430439999999999e-07,2.3105479999999998e-06,0.0015200486834308958
201326544 , 82650135 , 201326544 , 24586 ,-1.3e-05,-0.000834,1.6103609999999998e-06,5.595039999999999e-07,2.169865e-06,0.0014730461635671843
204122746 , 106604233 , 204122746 , 24899 ,-0.001133,-0.000264,2.2201000000000015e-08,3.168400000000001e-08,5.388500000000002e-08,0.0002321314282900961
206918948 , 106632020 , 206918948 , 25229 ,-0.000663,0.000502,3.8316099999999997e-07,3.45744e-07,7.28905e-07,0.0008537593337703547
209715150 , 106660338 , 209715150 , 25560 ,-0.000464,0.000215,6.691239999999999e-07,9.0601e-08,7.59725e-07,0.0008716220511207825
212511352 , 106680545 , 212511352 , 25912 ,-0.00086,0.000411,1.7808399999999997e-07,2.4700900000000006e-07,4.2509300000000003e-07,0.0006519915643626074
215307554 , 106699606 , 215307554 , 26266 ,-0.001492,0.000207,4.410000000000005e-08,8.584899999999998e-08,1.2994900000000002e-07,0.0003604843963336
218103756 , 106727245 , 218103756 , 26592 ,-0.000627,-0.000371,4.29025e-07,8.122499999999999e-08,5.1025e-07,0.0007143178564196754
220899958 , 106733329 , 220899958 , 26975 ,-0.000804,-0.000714,2.2848399999999992e-07,3.9438399999999997e-07,6.228679999999999e-07,0.0007892198679708968
223696160 , 106811743 , 223696160 , 27289 ,-0.001353,-0.000694,5.041000000000014e-09,3.696639999999999e-07,3.747049999999999e-07,0.0006121315218153693
226492362 , 106816700 , 226492362 , 27612 ,-0.001264,-0.000384,3.240000000000001e-10,8.880399999999999e-08,8.912799999999999e-08,0.00029854312921251424
229288564 , 106825711 , 229288564 , 27934 ,-0.001259,-0.001294,5.290000000000008e-10,1.4592640000000002e-06,1.4597930000000002e-06,0.0012082189371136344
232084766 , 106832073 , 232084766 , 28257 ,-0.001319,-0.001361,1.3690000000000105e-09,1.6256250000000002e-06,1.6269940000000003e-06,0.0012755367497645845
234880968 , 106845791 , 234880968 , 28569 ,-0.001817,-0.00107,2.862250000000001e-07,9.682560000000002e-07,1.2544810000000003e-06,0.001120036160130556
237677170 , 106975988 , 237677170 , 28929 ,-0.001855,-0.000954,3.2832900000000016e-07,7.534239999999999e-07,1.0817530000000001e-06,0.0010400735550911773
240473372 , 106989146 , 240473372 , 29236 ,-0.002975,-0.000798,2.866249000000001e-06,5.069439999999999e-07,3.373193000000001e-06,0.0018366254381337532
243269574 , 107001770 , 243269574 , 29578 ,-0.002878,-0.000163,2.547216e-06,5.9290000000000005e-09,2.553145e-06,0.0015978563765244986
246065776 , 107634761 , 246065776 , 29889 ,-0.003132,-3.3e-05,3.4224999999999994e-06,2.809e-09,3.4253089999999992e-06,0.001850759033477886
248861978 , 107797663 , 248861978 , 30229 ,-0.002684,0.000473,1.965604000000001e-06,3.1248100000000003e-07,2.278085000000001e-06,0.0015093326339809927
251658180 , 108041085 , 251658180 , 30575 ,-0.002923,0.000731,2.6928809999999998e-06,6.674890000000001e-07,3.3603699999999996e-06,0.0018331312009782605
254454382 , 108122581 , 254454382 , 30875 ,-0.002593,0.000537,1.7187209999999997e-06,3.881290000000001e-07,2.10685e-06,0.0014514992249395106
257250584 , 108340170 , 257250584 , 31236 ,-0.003114,0.001351,3.3562240000000004e-06,2.064969e-06,5.421193000000001e-06,0.00232834554995602
260046786 , 108640105 , 260046786 , 31578 ,-0.003513,0.000638,4.977361000000002e-06,5.241760000000001e-07,5.501537000000002e-06,0.002345535546522372
262842988 , 109326960 , 262842988 , 31914 ,-0.003145,0.000908,3.4707689999999997e-06,9.880359999999998e-07,4.458804999999999e-06,0.0021115882647902737
265639190 , 109935264 , 265639190 , 32246 ,-0.003159,0.000944,3.523129e-06,1.0608999999999997e-06,4.584029e-06,0.002141034563009201
268435392 , 110140469 , 268435392 , 32575 ,-0.00339,0.000646,4.4436639999999985e-06,5.35824e-07,4.979487999999998e-06,0.0022314766411504284
271231594 , 133224881 , 271231594 , 32884 ,-0.003626,0.000593,5.4943359999999985e-06,4.6104100000000003e-07,5.9553769999999985e-06,0.002440364112176705
274027796 , 133246326 , 274027796 , 33227 ,-0.003374,0.000698,4.376464e-06,6.146560000000002e-07,4.99112e-06,0.0022340814667330287
276823998 , 133291578 , 276823998 , 33578 ,-0.002966,0.001071,2.835856e-06,1.3386489999999996e-06,4.174504999999999e-06,0.0020431605419056033
279620200 , 133301198 , 279620200 , 33928 ,-0.002746,0.000886,2.1432960000000006e-06,9.44784e-07,3.0880800000000004e-06,0.00175729337334436
282416402 , 133370767 , 282416402 , 34297 ,-0.002968,0.000875,2.842596000000001e-06,9.235210000000001e-07,3.766117000000001e-06,0.001940648602916046
285212604 , 133394929 , 285212604 , 34648 ,-0.002489,0.00066,1.4568489999999998e-06,5.56516e-07,2.0133649999999997e-06,0.0014189309355990515
288008806 , 133402550 , 288008806 , 34959 ,-0.002475,0.000684,1.4232490000000007e-06,5.929000000000001e-07,2.0161490000000008e-06,0.0014199116169677608
290805008 , 133468647 , 290805008 , 35301 ,-0.002532,0.000471,1.5625e-06,3.10249e-07,1.8727490000000002e-06,0.0013684841979358037
293601210 , 133493077 , 293601210 , 35634 ,-0.002986,0.00044,2.903616e-06,2.76676e-07,3.180292e-06,0.0017833373208678161
296397412 , 133500932 , 296397412 , 35969 ,-0.003017,-0.000237,3.010225000000001e-06,2.2800999999999994e-08,3.0330260000000007e-06,0.0017415584974384297
299193614 , 133501341 , 299193614 , 36301 ,-0.00312,-0.000458,3.378244e-06,1.3838400000000003e-07,3.5166280000000003e-06,0.0018752674475924762
301989816 , 133504887 , 301989816 , 36656 ,-0.002797,-0.000312,2.295225e-06,5.1075999999999994e-08,2.346301e-06,0.001531764015767442
304786018 , 133605796 , 304786018 , 36994 ,-0.0034,-0.000164,4.485924e-06,6.084e-09,4.492008000000001e-06,0.002119435773973819
307582220 , 133663326 , 307582220 , 37328 ,-0.003032,0.000747,3.0625000000000003e-06,6.938890000000002e-07,3.7563890000000005e-06,0.0019381406037746593
310378422 , 133718134 , 310378422 , 37670 ,-0.002956,0.000518,2.8022759999999996e-06,3.6481600000000006e-07,3.1670919999999995e-06,0.0017796325463420811
313174624 , 134979138 , 313174624 , 38014 ,-0.002892,-0.000318,2.5921e-06,5.3823999999999986e-08,2.645924e-06,0.0016266296443874372
315970826 , 135148539 , 315970826 , 38354 ,-0.002941,-0.000598,2.7522810000000004e-06,2.62144e-07,3.0144250000000004e-06,0.0017362099527418913
318767028 , 135578880 , 318767028 , 38684 ,-0.003105,-0.000175,3.3233290000000006e-06,7.920999999999999e-09,3.3312500000000005e-06,0.001825171224844398
321563230 , 135692964 , 321563230 , 39019 ,-0.002822,-0.000265,2.3716e-06,3.2040999999999996e-08,2.403641e-06,0.001550368020826023
324359432 , 135910292 , 324359432 , 39388 ,-0.002752,-0.00023,2.1609000000000004e-06,2.0736e-08,2.181636e-06,0.0014770362216276216
327155634 , 136022496 , 327155634 , 39742 ,-0.00273,0.000177,2.0967039999999994e-06,6.9169e-08,2.1658729999999993e-06,0.001471690524532926
329951836 , 136881591 , 329951836 , 40088 ,-0.002809,0.000521,2.331729e-06,3.68449e-07,2.700178e-06,0.0016432218352979613
332748038 , 137401257 , 332748038 , 40413 ,-0.003121,0.000814,3.3819210000000005e-06,8.100000000000002e-07,4.191921e-06,0.002047418130231341
335544240 , 137565589 , 335544240 , 40737 ,-0.002997,0.00059,2.9412250000000004e-06,4.5697600000000005e-07,3.3982010000000006e-06,0.0018434210045456248
338340442 , 159819049 , 338340442 , 41131 ,-0.003075,-0.000125,3.2148490000000004e-06,1.521e-09,3.2163700000000003e-06,0.0017934240993139354
341136644 , 159887101 , 341136644 , 41467 ,-0.002967,0.000287,2.8392250000000003e-06,1.3912899999999997e-07,2.978354e-06,0.0017257908332124145
343932846 , 159984752 , 343932846 , 41775 ,-0.003048,0.000335,3.118756e-06,1.7724100000000005e-07,3.2959970000000004e-06,0.0018154880886417295
