n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
2146304,123119,47218688,1673251,0.005730181666666667,-0.0014031224666666666,9.183426333333333e-06,2.0051667731576212e-11
2162688,123128,47579136,1685968,0.0057392,-0.0013403429,8.915974999999999e-06,1.8546800367324664e-11
2179072,123138,47939584,1698763,0.005765322333333334,-0.0013478048333333333,8.976157999999999e-06,1.6970984561920663e-11
2195456,123147,48300032,1711492,0.005708795,-0.0014688305333333332,9.393505333333334e-06,2.0407610897428216e-11
2211840,123151,48660480,1724274,0.005716547666666666,-0.0014677937666666668,9.483060999999999e-06,2.1934679148280683e-11
2228224,123162,49020928,1737085,0.005704458666666666,-0.0014509952,9.374875e-06,2.1760808022180653e-11
2244608,123162,49381376,1749889,0.0056924210000000005,-0.0014354180666666667,9.279150666666665e-06,2.227890777970291e-11
2260992,123173,49741824,1762568,0.0057313013333333334,-0.0014612991,9.443588000000001e-06,2.0192000341980636e-11
2277376,123189,50102272,1775359,0.0057043043333333335,-0.0014303131666666667,9.233416666666667e-06,2.0396333402354878e-11
2293760,123204,50462720,1788164,0.005600490999999999,-0.0014652819333333333,8.914910933333333e-06,1.76810400823836e-11
2310144,123237,50823168,1800908,0.005637347666666667,-0.0014249566,8.863614333333334e-06,1.635232258090021e-11
2326528,123246,51183616,1813668,0.005635318333333333,-0.0014273036333333333,8.851303666666667e-06,1.6542291470672218e-11
2342912,123258,51544064,1826409,0.005607821666666666,-0.0014144914333333333,8.674427333333333e-06,1.5900051679336232e-11
2359296,123258,51904512,1839243,0.005579058333333334,-0.0013896919,8.484407666666667e-06,1.5546372598216218e-11
2375680,123263,52264960,1852077,0.005599093333333333,-0.0013907304666666666,8.532567666666668e-06,1.4846431202219533e-11
2392064,123272,52625408,1864880,0.005596760666666666,-0.0013771773333333334,8.452978666666666e-06,1.4878229910106887e-11
2408448,123313,52985856,1877680,0.005598445333333334,-0.0013572287666666668,8.302564333333334e-06,1.2760673723632874e-11
2424832,123325,53346304,1890390,0.005582473,-0.0013264674,8.130358333333333e-06,1.271796981412157e-11
2441216,123327,53706752,1903225,0.005612292333333334,-0.0013352974333333335,8.250514666666665e-06,1.234439496993359e-11
2457600,123335,54067200,1916060,0.0055367233333333335,-0.0012533941333333334,7.652104e-06,1.1440071605330666e-11
2473984,123337,54427648,1928829,0.005567025333333334,-0.0012338745333333333,7.735167666666668e-06,1.295438401468154e-11
2490368,123347,54788096,1941659,0.005560366,-0.0012368715333333333,7.75358e-06,1.3831423435424003e-11
2506752,123360,55148544,1954465,0.005546773333333334,-0.0012269394666666665,7.653326333333334e-06,1.3619108199293545e-11
2523136,123361,55508992,1967178,0.005539234666666667,-0.0012527063666666668,7.706816333333334e-06,1.3291916672181552e-11
2539520,123362,55869440,1979940,0.005535696,-0.0012534766666666666,7.691163666666665e-06,1.3056523245510237e-11
2555904,123365,56229888,1992766,0.005565348666666667,-0.0012634350999999999,7.822868e-06,1.2936129524700674e-11
2572288,123366,56590336,2005537,0.0055596736666666665,-0.0012555010666666668,7.667686000000001e-06,1.0835375147297975e-11
2588672,123377,56950784,2018280,0.0055220496666666665,-0.0012655906333333333,7.537282999999999e-06,1.068056664137867e-11
2605056,123381,57311232,2031049,0.005500745333333334,-0.0012483853666666667,7.352236333333333e-06,9.843332890705563e-12
2621440,123385,57671680,2043828,0.005491340666666666,-0.0012450913333333334,7.319720666666667e-06,1.0402534858790221e-11
2637824,123392,58032128,2056649,0.0054740579999999995,-0.0012303148666666667,7.161015999999999e-06,9.220334633213997e-12
2654208,123404,58392576,2069410,0.005472095,-0.0012048658666666667,7.034208999999999e-06,8.757694953432683e-12
2670592,123407,58753024,2082229,0.005389970666666667,-0.0012294711666666666,6.990475666666666e-06,9.790364259067581e-12
2686976,123407,59113472,2095022,0.005417311333333333,-0.0012408639333333334,7.123559666666666e-06,1.0363869424086906e-11
2703360,123408,59473920,2107757,0.005313386,-0.0011487866333333332,6.414481333333333e-06,6.6009939840869e-12
2719744,123412,59834368,2120589,0.005320045999999999,-0.0011430588666666668,6.413473666666667e-06,6.44935637381356e-12
2736128,123424,60194816,2133390,0.005291987666666667,-0.0011255887,6.2542260000000005e-06,6.458739358040655e-12
2752512,123428,60555264,2146092,0.005254382666666666,-0.0010924971666666668,6.036802333333332e-06,6.665283413268235e-12
2768896,123445,60915712,2158883,0.005249937333333334,-0.0010842506333333332,5.965285333333333e-06,5.945558174203556e-12
2785280,123472,61276160,2171653,0.005245272333333333,-0.0010732612000000001,5.8956549999999995e-06,5.9519307595020055e-12
2801664,123477,61636608,2184461,0.005235052333333333,-0.0010515483,5.812891666666667e-06,6.136814712797548e-12
2818048,123480,61997056,2197172,0.005220200666666667,-0.0010488809333333334,5.743797666666666e-06,5.558338131333568e-12
2834432,123486,62357504,2209894,0.005069923666666667,-0.0009744412666666665,5.015063333333333e-06,3.144575803397557e-12
2850816,123496,62717952,2222700,0.005075654333333333,-0.0009665928666666666,5.019056666666667e-06,3.1807425523082276e-12
2867200,123497,63078400,2235416,0.005045112666666667,-0.0009558670999999999,4.872442999999999e-06,3.059987397194009e-12
2883584,123500,63438848,2248213,0.005061976,-0.0009443055333333334,4.877544e-06,3.1173478813939957e-12
2899968,123513,63799296,2260966,0.005060751666666667,-0.0009436589,4.8639326666666664e-06,2.852725370368224e-12
2916352,123530,64159744,2273745,0.005060113000000001,-0.0009410906000000001,4.868437e-06,3.1121323908086624e-12
2932736,123561,64520192,2286527,0.005083181666666666,-0.0009532637333333335,4.9581833333333335e-06,3.110085110662888e-12
2949120,123570,64880640,2299281,0.004945608333333333,-0.000997063,4.578803666666666e-06,3.092553999269561e-12
2965504,123574,65241088,2312038,0.004984005333333334,-0.0009767316333333333,4.646929799999999e-06,3.086899754474486e-12
2981888,123579,65601536,2324838,0.004979643999999999,-0.0009723536666666667,4.6180633e-06,3.0394389728378404e-12
2998272,123590,65961984,2337593,0.004986864,-0.0009697689333333334,4.6256040999999994e-06,3.1046905397388884e-12
3014656,123697,66322432,2350328,0.004964274666666667,-0.0009543308666666667,4.519579966666666e-06,3.0370398679336687e-12
3031040,123705,66682880,2363149,0.004944943,-0.000945698,4.4422987e-06,3.090512534528846e-12
3047424,123764,67043328,2375932,0.004906975,-0.0008756425333333332,4.101878566666667e-06,2.9434010341300443e-12
3063808,123876,67403776,2388734,0.004937060666666666,-0.0008302737333333333,4.0860793e-06,3.086224441490246e-12
3080192,126121,67764224,2401504,0.004907007333333333,-0.0008175948333333334,3.9682393e-06,2.9537309609649805e-12
3096576,126260,68124672,2414238,0.004863217666666667,-0.0008163875333333332,3.8414984000000005e-06,2.688432734569916e-12
3112960,126266,68485120,2427076,0.004823790333333333,-0.0008304835666666666,3.7478719666666665e-06,2.5625784546526673e-12
3129344,126272,68845568,2439810,0.004827583333333333,-0.0007971914333333332,3.615718033333333e-06,2.1878088547842716e-12
3145728,126275,69206016,2452633,0.004812383666666667,-0.000779626,3.528094533333333e-06,2.1995625420651042e-12
3162112,126291,69566464,2465400,0.004751145000000001,-0.0007317266333333334,3.2793693e-06,2.265671534321783e-12
3178496,126308,69926912,2478207,0.004745726,-0.0007350618666666667,3.2774378000000005e-06,2.300843297604078e-12
3194880,126313,70287360,2490943,0.004719292,-0.0007452547,3.2481318e-06,2.1688199919408807e-12
3211264,126327,70647808,2503670,0.004726516,-0.0007464643333333333,3.2776105999999997e-06,2.348614925063389e-12
3227648,126329,71008256,2516436,0.004699251000000001,-0.0007140116,3.153234866666667e-06,2.4997495177500344e-12
3244032,126341,71368704,2529217,0.0061918139999999995,0.0021361332,3.1714430666666664e-05,1.5263619940916436e-09
3260416,126363,71729152,2541992,0.006180910666666667,0.0021205064,3.139260333333333e-05,1.4937099498861983e-09
3276800,126369,72089600,2554736,0.006165787666666666,0.002117353966666667,3.1030895666666674e-05,1.4668792859816403e-09
3293184,126387,72450048,2567479,0.006151158999999999,0.002100845666666667,3.0732364266666665e-05,1.433315811010326e-09
3309568,126390,72810496,2580256,0.006108502333333332,0.0020862313999999997,3.17106769e-05,1.5185104282811355e-09
3325952,126418,73170944,2593003,0.006095553,0.0018828758999999999,3.2309544033333335e-05,1.4383831271603343e-09
3342336,126419,73531392,2605755,0.006072049666666667,0.0018767877999999998,3.1923970833333334e-05,1.404245011697162e-09
3358720,126431,73891840,2618544,0.006072760333333333,0.001859768366666667,3.1660148300000005e-05,1.369869165118767e-09
3375104,126445,74252288,2631311,0.005652356,0.0018625949666666666,3.11151436e-05,1.357453229804037e-09
3391488,126447,74612736,2644101,0.005622928333333333,0.0018711280666666667,3.081725736666667e-05,1.3363968840051068e-09
3407872,126460,74973184,2656908,0.005596618333333333,0.0018805828333333333,3.065465223333333e-05,1.317608773001428e-09
3424256,126461,75333632,2669661,0.005581546333333333,0.0018765193333333333,3.031053126666667e-05,1.2913720213904536e-09
3440640,126467,75694080,2682478,0.005571018333333333,0.0018727397666666668,3.0066008666666665e-05,1.2678033371308538e-09
3457024,126476,76054528,2695219,0.005559829999999999,0.001861977833333333,2.9787719866666664e-05,1.2389908726115457e-09
3473408,126477,76414976,2707999,0.005554929333333333,0.0018543550666666666,2.9512994466666663e-05,1.2178179379131922e-09
3489792,126477,76775424,2720745,0.005571663,0.0018433740666666664,2.9261789333333335e-05,1.1995154887673846e-09
3506176,126479,77135872,2733556,0.005569298666666667,0.0018467885000000002,2.8451308193333334e-05,1.1442037275265378e-09
3522560,126489,77496320,2746353,0.005567401,0.0018559291333333338,2.822565234333333e-05,1.1296558239408535e-09
3538944,126489,77856768,2759076,0.005457427333333334,0.0018237043666666664,2.797266786666666e-05,1.1175168244197443e-09
3555328,126489,78217216,2771837,0.005472985,0.0018012019333333332,2.7767416033333337e-05,1.0947431725459287e-09
3571712,126507,78577664,2784614,0.005448547333333334,0.0019528961666666666,2.9194773166666668e-05,1.253352701574944e-09
3588096,126508,78938112,2797367,0.005428162666666667,0.0019424462666666666,2.8883153333333333e-05,1.223281832494709e-09
3604480,126529,79298560,2810120,0.005502735333333332,0.0020612488666666667,3.1339886066666666e-05,1.4838123069445838e-09
3620864,126536,79659008,2822948,0.0054913416666666675,0.0020609863333333335,3.1252069366666665e-05,1.4732079263473927e-09
3637248,126561,80019456,2835678,0.005497960666666667,0.0020600190666666667,3.0910268766666665e-05,1.446728132018145e-09
3653632,126567,80379904,2848527,0.005517149666666668,0.0020335899,3.0700744233333334e-05,1.4198760622257766e-09
3670016,126571,80740352,2861318,0.005513214999999999,0.0020189293666666667,3.039178203333333e-05,1.382714596000163e-09
3686400,126573,81100800,2874094,0.005519212333333333,0.0020346536,3.056194426666666e-05,1.4067205683845913e-09
3702784,126607,81461248,2886824,0.005483849,0.0020317633666666664,3.0134396499999998e-05,1.37027793248832e-09
3719168,126624,81821696,2899567,0.0054541450000000005,0.0020364304333333337,2.98904642e-05,1.3498087384999012e-09
3735552,126636,82182144,2912379,0.0054466006666666665,0.0020297528,2.9577684266666666e-05,1.3260813103277243e-09
3751936,126639,82542592,2925198,0.0054273003333333335,0.002014635366666667,2.928985423333333e-05,1.3004792064679835e-09
3768320,126643,82903040,2937989,0.005408201666666667,0.002011649066666667,2.90239734e-05,1.2772229291761117e-09
3784704,126648,83263488,2950736,0.005419940333333334,0.0019894641,2.879164666666667e-05,1.2491699817617725e-09
3801088,126659,83623936,2963485,0.005389204666666667,0.001990235766666667,2.843712136666666e-05,1.2188527293964234e-09
3817472,126664,83984384,2976197,0.00537452,0.0019942649666666664,2.8215247933333332e-05,1.2036349550505475e-09
3833856,126668,84344832,2989041,0.005353328,0.0019981075333333335,2.79430691e-05,1.1872308007077003e-09
3850240,126679,84705280,3001861,0.005320714999999999,0.0020353141666666665,2.80946822e-05,1.2072816056802742e-09
3866624,126698,85065728,3014644,0.005302638000000001,0.0020351287,2.7781708866666667e-05,1.184531655407983e-09
3883008,126699,85426176,3027369,0.005302368333333334,0.0020218133999999996,2.7596034e-05,1.1660477608408308e-09
3899392,126699,85786624,3040090,0.005315010666666667,0.0020182904000000004,2.7324044666666668e-05,1.1449918377477395e-09
3915776,126701,86147072,3052857,0.005305158666666667,0.0020904825666666666,2.6908118333333333e-05,1.1303249530959664e-09
3932160,126701,86507520,3065663,0.005317863666666666,0.0020632496,2.6484610233333333e-05,1.0955198340204942e-09
3948544,126702,86867968,3078464,0.0053568163333333335,0.0020843608333333337,2.6107670699999997e-05,1.082370328735861e-09
3964928,126722,87228416,3091200,0.005367830999999999,0.0020623656666666668,2.5920718433333338e-05,1.06481262034942e-09
3981312,126728,87588864,3103948,0.005350254666666668,0.0020637517,2.5678110233333333e-05,1.047333637178862e-09
3997696,126770,87949312,3116654,0.005374922,0.0020788226,2.5319793290000004e-05,1.0307354253253598e-09
4014080,126773,88309760,3129358,0.005366818333333333,0.0020036032333333336,2.3704613616666666e-05,8.937719300843464e-10
