n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
1130496,52671,24870912,881093,0.002170571563333333,-0.0009562527666666668,1.3191459946666667e-05,3.2042311786976865e-10
1146880,52688,25231360,893920,0.002222339616,-0.0009563740333333332,1.2635392927333333e-05,2.968924324619013e-10
1163264,52697,25591808,906672,0.0024041497566666668,-0.0012054633333333333,1.2330979783333334e-05,2.825812431894943e-10
1179648,52699,25952256,919417,0.002422065933333333,-0.0012027116,1.2041460185666668e-05,2.718606396285146e-10
1196032,52705,26312704,932169,0.0024073614,-0.0011813848,1.1777650155833333e-05,2.61711474592771e-10
1212416,52707,26673152,944961,0.0023661864366666665,-0.0011240427200000002,1.147726274249e-05,2.518065254690597e-10
1228800,52709,27033600,957747,0.0023623354833333336,-0.0010845146966666666,1.1168880452300001e-05,2.3964332453084263e-10
1245184,52713,27394048,970479,0.0024237139000000004,-0.0010964616086666667,1.0814675676257668e-05,2.248239440695525e-10
1261568,52717,27754496,983259,0.0023078855666666667,-0.0010286120066666665,1.0750461668833334e-05,2.113185606399033e-10
1277952,52718,28114944,996059,0.0022919338999999998,-0.0009900618766666668,1.03995927351e-05,1.9974043713651413e-10
1294336,52722,28475392,1008869,0.0023671311333333333,-0.0008857346433333333,1.0195431020333331e-05,1.8907352589874232e-10
1310720,52733,28835840,1021645,0.0023756967333333334,-0.0008877229433333333,1.0074926456333332e-05,1.8064458787381163e-10
1327104,52733,29196288,1034485,0.0023880863000000003,-0.0008662651666666666,9.861909613333334e-06,1.6877104833813237e-10
1343488,52734,29556736,1047236,0.0024075877666666664,-0.0008671080333333333,9.667640833333334e-06,1.6335047717588248e-10
1359872,52743,29917184,1060010,0.0024295647333333332,-0.0008388808133333333,9.427301929999999e-06,1.5957086382512606e-10
1376256,52750,30277632,1072805,0.0024703228333333334,-0.0008481993399999999,9.195638808666667e-06,1.5440016285823425e-10
1392640,52752,30638080,1085574,0.0025225900666666664,-0.0008658156233333332,8.959857382e-06,1.4766362890065378e-10
1409024,52775,30998528,1098354,0.0025754468,-0.00087702737,8.825840826666667e-06,1.437314711091116e-10
1425408,52789,31358976,1111198,0.002508283233333333,-0.0009004682000000001,8.721328706e-06,1.3595300257790037e-10
1441792,52807,31719424,1124000,0.0024096326333333334,-0.0007809940933333334,8.447711233333334e-06,1.312940482752083e-10
1458176,52807,32079872,1136730,0.0025192903333333336,-0.0006902662366666668,7.087848166666667e-06,9.150201199589723e-11
1474560,52832,32440320,1149537,0.0025927516666666667,-0.0005653581333333334,6.860146383333333e-06,8.770898577258136e-11
1490944,52843,32800768,1162272,0.002625693,-0.0005455477333333334,6.700214849000001e-06,8.260998372632422e-11
1507328,52859,33161216,1175068,0.0026020293333333332,-0.0004951922,6.601365553333334e-06,7.66095683602682e-11
1523712,52887,33521664,1187771,0.0025297423333333333,-0.00043393523333333327,6.426830860000001e-06,7.176841508596583e-11
1540096,52894,33882112,1200458,0.0024593426666666665,-0.00038578749999999997,6.612103016666666e-06,7.389263962662563e-11
1556480,52911,34242560,1213183,0.0024967400000000003,-0.00039003886666666665,6.418133355333333e-06,7.008711386590181e-11
