trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
1490944,26527,1490944,185891,-1.046019e-01,1.046700e-01,1.955938e-08,4.096767e-06
1507328,27411,1507328,187947,-1.044026e-01,1.049417e-01,3.531429e-09,3.070536e-06
1523712,27413,1523712,189920,-1.043971e-01,1.046793e-01,4.210337e-09,4.058913e-06
1540096,27422,1540096,191946,-1.044215e-01,1.045182e-01,1.636741e-09,4.733881e-06
1556480,27431,1556480,193911,-1.042330e-01,1.044746e-01,5.243465e-08,4.925742e-06
1572864,27434,1572864,195975,-1.042784e-01,1.045632e-01,3.369426e-08,4.540146e-06
1589248,27440,1589248,198031,-1.040659e-01,1.047103e-01,1.568914e-07,3.935193e-06
1605632,28002,1605632,200093,-1.038447e-01,1.049997e-01,3.810813e-07,2.870751e-06
1622016,28010,1622016,202200,-1.038110e-01,1.050477e-01,4.238326e-07,2.710165e-06
1638400,28022,1638400,204324,-1.037157e-01,1.052290e-01,5.570228e-07,2.146335e-06
1654784,28044,1654784,206356,-1.036223e-01,1.054430e-01,7.051634e-07,1.564938e-06
1671168,28322,1671168,208454,-1.037621e-01,1.054898e-01,4.897976e-07,1.450116e-06
1687552,28332,1687552,210475,-1.036417e-01,1.056563e-01,6.728212e-07,1.076717e-06
1703936,28333,1703936,212577,-1.036016e-01,1.057231e-01,7.402505e-07,9.426903e-07
1720320,28351,1720320,214625,-1.036829e-01,1.056085e-01,6.069848e-07,1.178240e-06
1736704,28357,1736704,216728,-1.038839e-01,1.057896e-01,3.342231e-07,8.178516e-07
1753088,28359,1753088,218776,-1.037023e-01,1.057203e-01,5.772097e-07,9.481236e-07
1769472,28362,1769472,220872,-1.038389e-01,1.058039e-01,3.882716e-07,7.923550e-07
1785856,28363,1785856,222928,-1.039744e-01,1.058142e-01,2.377424e-07,7.740774e-07
1802240,28367,1802240,224944,-1.040371e-01,1.061076e-01,1.805773e-07,3.439062e-07
1818624,28367,1818624,226905,-1.041405e-01,1.057821e-01,1.033670e-07,8.316004e-07
1835008,28368,1835008,228922,-1.040144e-01,1.056474e-01,2.003401e-07,1.095383e-06
1851392,28373,1851392,230986,-1.041744e-01,1.056368e-01,8.272654e-08,1.117609e-06
1867776,28385,1867776,233106,-1.043118e-01,1.055088e-01,2.257011e-08,1.404702e-06
1884160,28387,1884160,235198,-1.041610e-01,1.056686e-01,9.058066e-08,1.051417e-06
1900544,28435,1900544,237296,-1.040985e-01,1.057783e-01,1.321206e-07,8.385041e-07
1916928,28466,1916928,239396,-1.040962e-01,1.058790e-01,1.338432e-07,6.642438e-07
1933312,28505,1933312,241477,-1.041820e-01,1.059888e-01,7.837095e-08,4.972719e-07
1949696,28519,1949696,243473,-1.042133e-01,1.062504e-01,6.187041e-08,1.967546e-07
1966080,28870,1966080,245509,-1.041427e-01,1.063655e-01,1.019729e-07,1.079244e-07
1982464,28880,1982464,247564,-1.042846e-01,1.063020e-01,3.148338e-08,1.536620e-07
1998848,28888,1998848,249651,-1.043495e-01,1.063396e-01,1.266548e-08,1.255689e-07
2015232,28919,2015232,251746,-1.043315e-01,1.065212e-01,1.702167e-08,2.986030e-08
2031616,34722,2031616,253773,-1.044342e-01,1.064336e-01,7.748078e-10,6.780701e-08
2048000,34723,2048000,255843,-1.046226e-01,1.065323e-01,2.580824e-08,2.615410e-08
2064384,34758,2064384,257923,-1.047384e-01,1.064946e-01,7.642258e-08,3.976329e-08
2080768,34785,2080768,259913,-1.047748e-01,1.066986e-01,9.787038e-08,2.106404e-11
2097152,34873,2097152,262001,-1.048801e-01,1.064328e-01,1.748361e-07,6.823840e-08
2113536,34911,2113536,263999,-1.047010e-01,1.064259e-01,5.713511e-08,7.187852e-08
2129920,34961,2129920,266049,-1.048383e-01,1.064049e-01,1.416066e-07,8.359456e-08
2146304,34961,2146304,268030,-1.047503e-01,1.062282e-01,8.309124e-08,2.169792e-07
2162688,35008,2162688,270036,-1.045391e-01,1.062842e-01,5.945344e-09,1.679701e-07
2179072,35141,2179072,272076,-1.046495e-01,1.061463e-01,3.514277e-08,2.999830e-07
2195456,35177,2195456,274153,-1.044742e-01,1.062119e-01,1.483938e-10,2.324537e-07
2211840,35417,2211840,276206,-1.042801e-01,1.063330e-01,3.308163e-08,1.303178e-07
2228224,35442,2228224,278240,-1.044187e-01,1.063634e-01,1.877067e-09,1.092797e-07
2244608,35493,2244608,280238,-1.042103e-01,1.064440e-01,6.337314e-08,6.247604e-08
