trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
980992 , 0.025848 , -0.032892, 0.000008, 0.000000
982016 , 0.025809 , -0.032848, 0.000008, 0.000000
983040 , 0.025834 , -0.032913, 0.000008, 0.000000
984064 , 0.025864 , -0.032912, 0.000008, 0.000000
985088 , 0.025859 , -0.032813, 0.000008, 0.000000
986112 , 0.025873 , -0.032785, 0.000008, 0.000000
987136 , 0.025943 , -0.032877, 0.000007, 0.000000
988160 , 0.025930 , -0.032846, 0.000008, 0.000000
989184 , 0.025927 , -0.032852, 0.000008, 0.000000
990208 , 0.025897 , -0.032855, 0.000008, 0.000000
991232 , 0.025957 , -0.032784, 0.000007, 0.000000
992256 , 0.025959 , -0.032784, 0.000007, 0.000000
993280 , 0.025930 , -0.032717, 0.000008, 0.000000
994304 , 0.025879 , -0.032694, 0.000008, 0.000000
995328 , 0.025826 , -0.032733, 0.000008, 0.000000
996352 , 0.025777 , -0.032742, 0.000008, 0.000000
997376 , 0.025749 , -0.032809, 0.000009, 0.000000
998400 , 0.025716 , -0.032789, 0.000009, 0.000000
999424 , 0.025635 , -0.032785, 0.000009, 0.000000
1000448 , 0.025682 , -0.032753, 0.000009, 0.000000
1001472 , 0.025671 , -0.032787, 0.000009, 0.000000
1002496 , 0.025576 , -0.032765, 0.000010, 0.000000
1003520 , 0.025596 , -0.032792, 0.000009, 0.000000
1004544 , 0.025617 , -0.032826, 0.000009, 0.000000
1005568 , 0.025677 , -0.032782, 0.000009, 0.000000
1006592 , 0.025615 , -0.032791, 0.000009, 0.000000
1007616 , 0.025553 , -0.032782, 0.000010, 0.000000
1008640 , 0.025586 , -0.032799, 0.000010, 0.000000
1009664 , 0.025628 , -0.032805, 0.000009, 0.000000
1010688 , 0.025651 , -0.032782, 0.000009, 0.000000
1011712 , 0.025662 , -0.032814, 0.000009, 0.000000
1012736 , 0.025698 , -0.032775, 0.000009, 0.000000
1013760 , 0.025642 , -0.032815, 0.000009, 0.000000
1014784 , 0.025654 , -0.032841, 0.000009, 0.000000
1015808 , 0.025678 , -0.032868, 0.000009, 0.000000
1016832 , 0.025746 , -0.032848, 0.000009, 0.000000
1017856 , 0.025789 , -0.032873, 0.000008, 0.000000
1018880 , 0.025762 , -0.032848, 0.000008, 0.000000
1019904 , 0.025766 , -0.032892, 0.000008, 0.000000
1020928 , 0.025762 , -0.032894, 0.000008, 0.000000
1021952 , 0.025743 , -0.032904, 0.000009, 0.000000
1022976 , 0.025788 , -0.032871, 0.000008, 0.000000
1024000 , 0.025786 , -0.032791, 0.000008, 0.000000
1025024 , 0.025780 , -0.032730, 0.000008, 0.000000
1026048 , 0.025730 , -0.032724, 0.000009, 0.000000
1027072 , 0.025608 , -0.032662, 0.000009, 0.000000
1028096 , 0.025522 , -0.032695, 0.000010, 0.000000
1029120 , 0.025532 , -0.032682, 0.000010, 0.000000
1030144 , 0.025585 , -0.032688, 0.000010, 0.000000
1031168 , 0.025591 , -0.032729, 0.000010, 0.000000
1032192 , 0.025636 , -0.032783, 0.000009, 0.000000
1033216 , 0.025700 , -0.032786, 0.000009, 0.000000
1034240 , 0.025602 , -0.032763, 0.000009, 0.000000
1035264 , 0.025668 , -0.032722, 0.000009, 0.000000
1036288 , 0.025723 , -0.032762, 0.000009, 0.000000
1037312 , 0.025657 , -0.032805, 0.000009, 0.000000
1038336 , 0.025643 , -0.032833, 0.000009, 0.000000
1039360 , 0.025644 , -0.032806, 0.000009, 0.000000
1040384 , 0.025598 , -0.032837, 0.000009, 0.000000
1041408 , 0.025561 , -0.032868, 0.000010, 0.000000
1042432 , 0.025557 , -0.032930, 0.000010, 0.000000
1043456 , 0.025516 , -0.032867, 0.000010, 0.000000
1044480 , 0.025568 , -0.032779, 0.000010, 0.000000
1045504 , 0.025633 , -0.032777, 0.000009, 0.000000
1046528 , 0.025590 , -0.032805, 0.000010, 0.000000
1047552 , 0.025578 , -0.032775, 0.000010, 0.000000
1048576 , 0.025587 , -0.032811, 0.000010, 0.000000
