trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
271360 , 0.024590 , -0.032688, 0.000017, 0.000000
272384 , 0.024338 , -0.032668, 0.000019, 0.000000
273408 , 0.023892 , -0.032871, 0.000023, 0.000000
274432 , 0.023917 , -0.032725, 0.000023, 0.000000
275456 , 0.023757 , -0.032516, 0.000024, 0.000000
276480 , 0.023477 , -0.032437, 0.000027, 0.000000
277504 , 0.023277 , -0.032266, 0.000029, 0.000000
278528 , 0.023367 , -0.032208, 0.000028, 0.000000
279552 , 0.023236 , -0.032284, 0.000030, 0.000000
280576 , 0.023369 , -0.032322, 0.000028, 0.000000
281600 , 0.023294 , -0.032339, 0.000029, 0.000000
282624 , 0.023419 , -0.032480, 0.000028, 0.000000
283648 , 0.023431 , -0.032489, 0.000028, 0.000000
284672 , 0.023174 , -0.032373, 0.000030, 0.000000
285696 , 0.023147 , -0.032571, 0.000031, 0.000000
286720 , 0.023037 , -0.032739, 0.000032, 0.000000
287744 , 0.022955 , -0.032759, 0.000033, 0.000000
288768 , 0.023053 , -0.032922, 0.000032, 0.000000
289792 , 0.022919 , -0.032975, 0.000033, 0.000000
290816 , 0.022718 , -0.033026, 0.000035, 0.000000
291840 , 0.022886 , -0.033194, 0.000034, 0.000000
292864 , 0.022934 , -0.033138, 0.000033, 0.000000
293888 , 0.023262 , -0.033148, 0.000029, 0.000000
294912 , 0.023496 , -0.033354, 0.000027, 0.000001
295936 , 0.023672 , -0.033080, 0.000025, 0.000000
296960 , 0.023609 , -0.032984, 0.000026, 0.000000
297984 , 0.023690 , -0.032885, 0.000025, 0.000000
299008 , 0.023789 , -0.032912, 0.000024, 0.000000
300032 , 0.023486 , -0.032838, 0.000027, 0.000000
301056 , 0.023538 , -0.032568, 0.000026, 0.000000
302080 , 0.023535 , -0.032549, 0.000026, 0.000000
303104 , 0.023838 , -0.032632, 0.000023, 0.000000
304128 , 0.024037 , -0.032672, 0.000022, 0.000000
305152 , 0.023976 , -0.032605, 0.000022, 0.000000
306176 , 0.023766 , -0.032252, 0.000024, 0.000000
