trueR , trueI
-0.001721 , 0.001279
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
562483 , 36832 , 4499864 , 563919 ,-0.001691,0.001297,9.000000000000048e-10,3.240000000000001e-10,1.2240000000000049e-09,3.4985711369071875e-05
567944 , 36837 , 4543552 , 569393 ,-0.001694,0.001286,7.290000000000062e-10,4.9000000000000865e-11,7.78000000000007e-10,2.789265136196283e-05
573405 , 36842 , 4587240 , 574864 ,-0.00169,0.001288,9.609999999999997e-10,8.100000000000198e-11,1.0420000000000016e-09,3.228002478313797e-05
578866 , 36847 , 4630928 , 580333 ,-0.001688,0.001282,1.0890000000000028e-09,8.999999999999786e-12,1.0980000000000026e-09,3.313608305156182e-05
584327 , 36852 , 4674616 , 585808 ,-0.001699,0.001288,4.840000000000044e-10,8.100000000000198e-11,5.650000000000064e-10,2.376972864800956e-05
589788 , 36856 , 4718304 , 591280 ,-0.001698,0.001287,5.290000000000008e-10,6.399999999999964e-11,5.930000000000004e-10,2.435159132377185e-05
595249 , 36861 , 4761992 , 596755 ,-0.001694,0.001286,7.290000000000062e-10,4.9000000000000865e-11,7.78000000000007e-10,2.789265136196283e-05
600710 , 36866 , 4805680 , 602227 ,-0.001689,0.001288,1.024000000000008e-09,8.100000000000198e-11,1.10500000000001e-09,3.324154027718947e-05
606171 , 39715 , 4849368 , 607706 ,-0.001688,0.001287,1.0890000000000028e-09,6.399999999999964e-11,1.1530000000000023e-09,3.3955853692699325e-05
611632 , 39740 , 4893056 , 613177 ,-0.001691,0.001288,9.000000000000048e-10,8.100000000000198e-11,9.810000000000066e-10,3.1320919526731754e-05
617093 , 39748 , 4936744 , 618649 ,-0.001695,0.001299,6.760000000000103e-10,4.000000000000021e-10,1.0760000000000124e-09,3.280243893371364e-05
622554 , 39753 , 4980432 , 624122 ,-0.001696,0.001299,6.250000000000033e-10,4.000000000000021e-10,1.0250000000000055e-09,3.2015621187164327e-05
628015 , 39758 , 5024120 , 629605 ,-0.0017,0.001305,4.410000000000078e-10,6.75999999999999e-10,1.1170000000000068e-09,3.342154993413691e-05
633476 , 39763 , 5067808 , 635075 ,-0.001692,0.001293,8.410000000000094e-10,1.9600000000000346e-10,1.0370000000000129e-09,3.220248437620944e-05
638937 , 39768 , 5111496 , 640546 ,-0.001698,0.001297,5.290000000000008e-10,3.240000000000001e-10,8.530000000000009e-10,2.920616373302048e-05
644398 , 39773 , 5155184 , 646020 ,-0.001698,0.001298,5.290000000000008e-10,3.6099999999999694e-10,8.899999999999978e-10,2.983286778035256e-05
649859 , 39778 , 5198872 , 651495 ,-0.001709,0.001296,1.440000000000018e-10,2.89000000000003e-10,4.330000000000048e-10,2.0808652046684927e-05
655320 , 39783 , 5242560 , 656970 ,-0.001708,0.001294,1.6899999999999975e-10,2.250000000000012e-10,3.940000000000009e-10,1.984943324127923e-05
660781 , 39788 , 5286248 , 662451 ,-0.001708,0.001301,1.6899999999999975e-10,4.840000000000044e-10,6.530000000000042e-10,2.5553864678361356e-05
666242 , 42578 , 5329936 , 667922 ,-0.001712,0.001306,8.100000000000198e-11,7.290000000000062e-10,8.100000000000082e-10,2.8460498941515557e-05
671703 , 42588 , 5373624 , 673399 ,-0.001709,0.001314,1.440000000000018e-10,1.2250000000000064e-09,1.3690000000000082e-09,3.700000000000011e-05
677164 , 42594 , 5417312 , 678879 ,-0.001716,0.001308,2.500000000000013e-11,8.409999999999969e-10,8.65999999999997e-10,2.942787793912427e-05
682625 , 42599 , 5461000 , 684347 ,-0.001714,0.001304,4.9000000000000865e-11,6.250000000000033e-10,6.740000000000042e-10,2.596150997149442e-05
688086 , 42604 , 5504688 , 689821 ,-0.001715,0.001305,3.600000000000175e-11,6.75999999999999e-10,7.120000000000007e-10,2.6683328128252683e-05
693547 , 42608 , 5548376 , 695292 ,-0.001714,0.001311,4.9000000000000865e-11,1.024000000000008e-09,1.073000000000009e-09,3.275667870831854e-05
699008 , 42613 , 5592064 , 700771 ,-0.001722,0.001314,9.999999999998318e-13,1.2250000000000064e-09,1.2260000000000063e-09,3.501428280002328e-05
704469 , 45723 , 5635752 , 706247 ,-0.001722,0.001312,9.999999999998318e-13,1.0890000000000028e-09,1.0900000000000026e-09,3.3015148038438395e-05
709930 , 45741 , 5679440 , 711733 ,-0.001718,0.001306,9.000000000001089e-12,7.290000000000062e-10,7.380000000000073e-10,2.7166155414412385e-05
715391 , 45747 , 5723128 , 717209 ,-0.001718,0.001315,9.000000000001089e-12,1.2960000000000005e-09,1.3050000000000016e-09,3.6124783736376906e-05
720852 , 45752 , 5766816 , 722685 ,-0.001718,0.001319,9.000000000001089e-12,1.6000000000000083e-09,1.6090000000000094e-09,4.0112342240263274e-05
726313 , 45757 , 5810504 , 728164 ,-0.001722,0.001317,9.999999999998318e-13,1.4440000000000043e-09,1.4450000000000042e-09,3.801315561749648e-05
731774 , 45762 , 5854192 , 733642 ,-0.001727,0.001316,3.5999999999999145e-11,1.3689999999999943e-09,1.4049999999999934e-09,3.7483329627982536e-05
737235 , 45767 , 5897880 , 739115 ,-0.001723,0.001316,3.999999999999327e-12,1.3689999999999943e-09,1.3729999999999937e-09,3.7054014627297726e-05
742696 , 45772 , 5941568 , 744592 ,-0.001726,0.001318,2.500000000000013e-11,1.5209999999999977e-09,1.545999999999998e-09,3.931920650267497e-05
748157 , 45777 , 5985256 , 750067 ,-0.001725,0.001317,1.5999999999999043e-11,1.4440000000000043e-09,1.4600000000000034e-09,3.820994634908564e-05
753618 , 45782 , 6028944 , 755546 ,-0.001723,0.001319,3.999999999999327e-12,1.6000000000000083e-09,1.6040000000000077e-09,4.0049968789001667e-05
759079 , 45787 , 6072632 , 761022 ,-0.001722,0.001309,9.999999999998318e-13,9.000000000000048e-10,9.010000000000045e-10,3.0016662039607345e-05
764540 , 45792 , 6116320 , 766492 ,-0.001719,0.001309,4.000000000000195e-12,9.000000000000048e-10,9.040000000000049e-10,3.00665927567459e-05
770001 , 45797 , 6160008 , 771970 ,-0.001714,0.001305,4.9000000000000865e-11,6.75999999999999e-10,7.249999999999999e-10,2.692582403567252e-05
775462 , 45801 , 6203696 , 777446 ,-0.001716,0.001307,2.500000000000013e-11,7.840000000000016e-10,8.090000000000018e-10,2.8442925306655814e-05
780923 , 45806 , 6247384 , 782917 ,-0.001719,0.001311,4.000000000000195e-12,1.024000000000008e-09,1.0280000000000082e-09,3.2062439083762925e-05
786384 , 45811 , 6291072 , 788384 ,-0.001718,0.001309,9.000000000001089e-12,9.000000000000048e-10,9.090000000000059e-10,3.0149626863362768e-05
791845 , 45816 , 6334760 , 793857 ,-0.00172,0.001311,1.0000000000002655e-12,1.024000000000008e-09,1.0250000000000084e-09,3.2015621187164374e-05
797306 , 48295 , 6378448 , 799325 ,-0.001723,0.001315,3.999999999999327e-12,1.2960000000000005e-09,1.2999999999999999e-09,3.605551275463989e-05
802767 , 48305 , 6422136 , 804802 ,-0.00172,0.001313,1.0000000000002655e-12,1.1559999999999972e-09,1.1569999999999976e-09,3.4014702703389865e-05
808228 , 48321 , 6465824 , 810272 ,-0.001724,0.001316,8.999999999999786e-12,1.3689999999999943e-09,1.3779999999999942e-09,3.7121422386541094e-05
813689 , 48327 , 6509512 , 815747 ,-0.001728,0.001322,4.899999999999783e-11,1.849000000000006e-09,1.8980000000000036e-09,4.356604182158397e-05
