n_samples , n_paths , estimateR , estimateI
573440 , 33259520 , 0.033766 , 0.000000
581632 , 33734656 , 0.023901 , 0.000000
589824 , 34209792 , 0.031145 , 0.000000
598016 , 34684928 , -0.006642 , 0.000000
606208 , 35160064 , -0.002457 , 0.000000
614400 , 35635200 , -0.014545 , 0.000000
622592 , 36110336 , -0.011164 , 0.000000
630784 , 36585472 , -0.017316 , 0.000000
638976 , 37060608 , -0.037296 , 0.000000
647168 , 37535744 , -0.045263 , 0.000000
655360 , 38010880 , -0.054545 , 0.000000
663552 , 38486016 , -0.066592 , 0.000000
671744 , 38961152 , -0.052476 , 0.000000
679936 , 39436288 , -0.081051 , 0.000000
688128 , 39911424 , -0.081530 , 0.000000
696320 , 40386560 , -0.074153 , 0.000000
704512 , 40861696 , -0.073291 , 0.000000
712704 , 41336832 , -0.059213 , 0.000000
720896 , 41811968 , -0.079201 , 0.000000
729088 , 42287104 , -0.058563 , 0.000000
737280 , 42762240 , -0.052525 , 0.000000
745472 , 43237376 , -0.048618 , 0.000000
753664 , 43712512 , -0.046772 , 0.000000
761856 , 44187648 , -0.037146 , 0.000000
770048 , 44662784 , -0.036750 , 0.000000
778240 , 45137920 , -0.032536 , 0.000000
786432 , 45613056 , -0.023359 , 0.000000
794624 , 46088192 , -0.042487 , 0.000000
802816 , 46563328 , -0.043908 , 0.000000
811008 , 47038464 , -0.033058 , 0.000000
819200 , 47513600 , -0.044242 , 0.000000
827392 , 47988736 , -0.057006 , 0.000000
835584 , 48463872 , -0.051099 , 0.000000
843776 , 48939008 , -0.052368 , 0.000000
851968 , 49414144 , -0.078671 , 0.000000
860160 , 49889280 , -0.083694 , 0.000000
868352 , 50364416 , -0.093768 , 0.000000
876544 , 50839552 , -0.113282 , 0.000000
884736 , 51314688 , -0.092593 , 0.000000
892928 , 51789824 , -0.082291 , 0.000000
901120 , 52264960 , -0.071625 , 0.000000
909312 , 52740096 , -0.084084 , 0.000000
917504 , 53215232 , -0.087121 , 0.000000
925696 , 53690368 , -0.079914 , 0.000000
933888 , 54165504 , -0.080808 , 0.000000
942080 , 54640640 , -0.069038 , 0.000000
950272 , 55115776 , -0.073145 , 0.000000
958464 , 55590912 , -0.076146 , 0.000000
966656 , 56066048 , -0.071392 , 0.000000
974848 , 56541184 , -0.070792 , 0.000000
983040 , 57016320 , -0.063636 , 0.000000
991232 , 57491456 , -0.066116 , 0.000000
999424 , 57966592 , -0.070045 , 0.000000
1007616 , 58441728 , -0.081794 , 0.000000
1015808 , 58916864 , -0.050831 , 0.000000
1024000 , 59392000 , -0.060606 , 0.000000
1032192 , 59867136 , -0.062530 , 0.000000
1040384 , 60342272 , -0.062992 , 0.000000
1048576 , 60817408 , -0.036932 , 0.000000
1056768 , 61292544 , -0.045102 , 0.000000
1064960 , 61767680 , -0.046620 , 0.000000
1073152 , 62242816 , -0.041175 , 0.000000
1081344 , 62717952 , -0.042700 , 0.000000
1089536 , 63193088 , -0.062884 , 0.000000
1097728 , 63668224 , -0.075984 , 0.000000
1105920 , 64143360 , -0.081257 , 0.000000
1114112 , 64618496 , -0.095365 , 0.000000
1122304 , 65093632 , -0.084937 , 0.000000
1130496 , 65568768 , -0.087835 , 0.000000
1138688 , 66043904 , -0.085459 , 0.000000
1146880 , 66519040 , -0.085281 , 0.000000
1155072 , 66994176 , -0.082957 , 0.000000
1163264 , 67469312 , -0.077251 , 0.000000
1171456 , 67944448 , -0.082221 , 0.000000
1179648 , 68419584 , -0.073653 , 0.000000
1187840 , 68894720 , -0.065622 , 0.000000
1196032 , 69369856 , -0.070569 , 0.000000
1204224 , 69844992 , -0.076273 , 0.000000
1212416 , 70320128 , -0.079034 , 0.000000
1220608 , 70795264 , -0.067521 , 0.000000
1228800 , 71270400 , -0.069495 , 0.000000
1236992 , 71745536 , -0.071042 , 0.000000
1245184 , 72220672 , -0.087321 , 0.000000
1253376 , 72695808 , -0.085958 , 0.000000
1261568 , 73170944 , -0.086580 , 0.000000
1269760 , 73646080 , -0.092278 , 0.000000
1277952 , 74121216 , -0.094794 , 0.000000
1286144 , 74596352 , -0.093418 , 0.000000
1294336 , 75071488 , -0.090142 , 0.000000
1302528 , 75546624 , -0.084239 , 0.000000
1310720 , 76021760 , -0.074621 , 0.000000
1318912 , 76496896 , -0.059853 , 0.000000
1327104 , 76972032 , -0.056117 , 0.000000
1335296 , 77447168 , -0.068786 , 0.000000
1343488 , 77922304 , -0.075758 , 0.000000
1351680 , 78397440 , -0.077502 , 0.000000
1359872 , 78872576 , -0.077766 , 0.000000
1368064 , 79347712 , -0.076211 , 0.000000
1376256 , 79822848 , -0.090188 , 0.000000
1384448 , 80297984 , -0.100771 , 0.000000
1392640 , 80773120 , -0.108021 , 0.000000
1400832 , 81248256 , -0.109162 , 0.000000
1409024 , 81723392 , -0.100423 , 0.000000
1417216 , 82198528 , -0.108600 , 0.000000
1425408 , 82673664 , -0.093347 , 0.000000
1433600 , 83148800 , -0.095238 , 0.000000
1441792 , 83623936 , -0.087121 , 0.000000
1449984 , 84099072 , -0.089368 , 0.000000
1458176 , 84574208 , -0.076268 , 0.000000
1466368 , 85049344 , -0.074826 , 0.000000
1474560 , 85524480 , -0.077441 , 0.000000
1482752 , 85999616 , -0.058597 , 0.000000
1490944 , 86474752 , -0.046620 , 0.000000
1499136 , 86949888 , -0.028150 , 0.000000
1507328 , 87425024 , -0.027009 , 0.000000
1515520 , 87900160 , -0.024570 , 0.000000
1523712 , 88375296 , -0.023786 , 0.000000
1531904 , 88850432 , -0.020742 , 0.000000
1540096 , 89325568 , -0.019987 , 0.000000
1548288 , 89800704 , -0.018599 , 0.000000
1556480 , 90275840 , -0.017544 , 0.000000
1564672 , 90750976 , -0.018087 , 0.000000
1572864 , 91226112 , -0.014520 , 0.000000
1581056 , 91701248 , -0.009421 , 0.000000
1589248 , 92176384 , -0.004998 , 0.000000
1597440 , 92651520 , 0.002176 , 0.000000
1605632 , 93126656 , 0.007421 , 0.000000
1613824 , 93601792 , 0.009845 , 0.000000
1622016 , 94076928 , 0.001224 , 0.000000
1630208 , 94552064 , -0.002132 , 0.000000
1638400 , 95027200 , -0.000303 , 0.000000
1646592 , 95502336 , -0.000905 , 0.000000
1654784 , 95977472 , -0.012601 , 0.000000
1662976 , 96452608 , -0.013733 , 0.000000
1671168 , 96927744 , -0.015746 , 0.000000
1679360 , 97402880 , -0.020695 , 0.000000
1687552 , 97878016 , -0.027949 , 0.000000
1695744 , 98353152 , -0.028693 , 0.000000
1703936 , 98828288 , -0.018939 , 0.000000
1712128 , 99303424 , -0.014209 , 0.000000
1720320 , 99778560 , -0.016162 , 0.000000
1728512 , 100253696 , -0.016085 , 0.000000
1736704 , 100728832 , -0.013436 , 0.000000
1744896 , 101203968 , -0.021909 , 0.000000
1753088 , 101679104 , -0.032569 , 0.000000
1761280 , 102154240 , -0.033263 , 0.000000
1769472 , 102629376 , -0.033951 , 0.000000
1777664 , 103104512 , -0.027650 , 0.000000
1785856 , 103579648 , -0.022797 , 0.000000
1794048 , 104054784 , -0.023523 , 0.000000
1802240 , 104529920 , -0.022039 , 0.000000
1810432 , 105005056 , -0.009598 , 0.000000
1818624 , 105480192 , -0.000273 , 0.000000
1826816 , 105955328 , -0.000272 , 0.000000
1835008 , 106430464 , -0.000812 , 0.000000
1843200 , 106905600 , -0.003232 , 0.000000
1851392 , 107380736 , 0.000536 , 0.000000
1859584 , 107855872 , -0.000801 , 0.000000
1867776 , 108331008 , 0.001861 , 0.000000
1875968 , 108806144 , 0.006881 , 0.000000
1884160 , 109281280 , 0.013439 , 0.000000
1892352 , 109756416 , 0.013381 , 0.000000
1900544 , 110231552 , 0.017503 , 0.000000
1908736 , 110706688 , 0.024711 , 0.000000
1916928 , 111181824 , 0.027195 , 0.000000
1925120 , 111656960 , 0.029400 , 0.000000
1933312 , 112132096 , 0.022599 , 0.000000
1941504 , 112607232 , 0.027618 , 0.000000
1949696 , 113082368 , 0.028266 , 0.000000
1957888 , 113557504 , 0.022062 , 0.000000
1966080 , 114032640 , 0.025000 , 0.000000
1974272 , 114507776 , 0.027914 , 0.000000
1982464 , 114982912 , 0.025545 , 0.000000
1990656 , 115458048 , 0.022945 , 0.000000
1998848 , 115933184 , 0.013910 , 0.000000
2007040 , 116408320 , 0.008905 , 0.000000
2015232 , 116883456 , 0.003942 , 0.000000
2023424 , 117358592 , 0.008588 , 0.000000
2031616 , 117833728 , 0.008798 , 0.000000
2039808 , 118308864 , 0.006328 , 0.000000
2048000 , 118784000 , 0.010424 , 0.000000
2056192 , 119259136 , 0.015936 , 0.000000
2064384 , 119734272 , 0.019000 , 0.000000
2072576 , 120209408 , 0.021320 , 0.000000
2080768 , 120684544 , 0.022906 , 0.000000
2088960 , 121159680 , 0.026857 , 0.000000
2097152 , 121634816 , 0.030066 , 0.000000
