n_samples , n_paths , estimateR , estimateI
913408 , 52977664 , 1.024595 , 0.000000
917504 , 53215232 , 1.022727 , 0.000000
921600 , 53452800 , 1.029494 , 0.000000
925696 , 53690368 , 1.019039 , 0.000000
929792 , 53927936 , 1.008676 , 0.000000
933888 , 54165504 , 1.013290 , 0.000000
937984 , 54403072 , 1.018922 , 0.000000
942080 , 54640640 , 1.015546 , 0.000000
946176 , 54878208 , 1.012724 , 0.000000
950272 , 55115776 , 1.001044 , 0.000000
954368 , 55353344 , 0.999869 , 0.000000
958464 , 55590912 , 1.002330 , 0.000000
962560 , 55828480 , 1.001160 , 0.000000
966656 , 56066048 , 0.995890 , 0.000000
970752 , 56303616 , 1.006009 , 0.000000
974848 , 56541184 , 1.004838 , 0.000000
978944 , 56778752 , 1.009762 , 0.000000
983040 , 57016320 , 1.008080 , 0.000000
987136 , 57253888 , 1.007418 , 0.000000
991232 , 57491456 , 1.005258 , 0.000000
995328 , 57729024 , 1.005112 , 0.000000
999424 , 57966592 , 1.007947 , 0.000000
1003520 , 58204160 , 1.004823 , 0.000000
1007616 , 58441728 , 0.999753 , 0.000000
1011712 , 58679296 , 1.001103 , 0.000000
1015808 , 58916864 , 1.004398 , 0.000000
1019904 , 59154432 , 1.006206 , 0.000000
1024000 , 59392000 , 1.004120 , 0.000000
1028096 , 59629568 , 1.011710 , 0.000000
1032192 , 59867136 , 1.010581 , 0.000000
1036288 , 60104704 , 1.011378 , 0.000000
1040384 , 60342272 , 1.006919 , 0.000000
1044480 , 60579840 , 1.001544 , 0.000000
1048576 , 60817408 , 1.000473 , 0.000000
